#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
Door_Relax_Handle049,2.340795,1.982754,2.07562,0.5,-0.4999999,-0.5,0.5000001,
Door_Relax_Handle045,-7.26966,3.094156,-5.962214,-4.776597E-08,-4.776596E-08,0.7071067,0.7071069,
Door_Relax_Handle043,-7.370991,3.094162,-5.962213,-6.883939E-08,6.883938E-08,-0.7071067,0.7071069,
Door_Relax_Handle042,2.340795,3.11417,-4.448647,-0.5000001,-0.4999999,0.4999999,0.5000001,
Door_Relax_Handle037,-1.773781,3.114169,-4.448647,-0.5000001,-0.4999999,0.4999999,0.5000001,
Door_Relax_Handle035,-5.593218,3.114169,-4.488647,-0.5000001,-0.4999999,0.4999999,0.5000001,
Door_Relax_Handle032,2.340795,3.114162,-4.549968,0.5,-0.4999999,-0.5,0.5000001,
Door_Relax_Handle029,-1.773781,3.114162,-4.549968,0.5,-0.4999999,-0.5,0.5000001,
Door_Relax_Handle028,-5.593219,3.114162,-4.590019,0.5,-0.4999999,-0.5,0.5000001,
Door_Relax_Handle026,-7.370992,2.022264,-5.326899,-0.5000001,-0.4999999,-0.4999999,0.5000001,
Door_Relax_Handle024,-15.35866,2.022264,-1.820115,1.426846E-07,0.7071068,0.7071068,-1.426846E-07,
Door_Relax_Handle023,-15.35852,2.022264,-1.718633,-0.7071068,4.390296E-08,4.390296E-08,0.7071068,
Door_Relax_Handle022,-13.75341,2.022264,-1.698624,-0.7071068,4.390296E-08,4.390296E-08,0.7071068,
Door_Relax_Handle021,-13.75354,2.022264,-1.860115,1.426846E-07,0.7071068,0.7071068,-1.426846E-07,
Door_Relax_Handle020,-6.917346,2.022264,-1.758633,-0.7071068,4.390296E-08,4.390296E-08,0.7071068,
Door_Relax_Handle019,-8.477306,2.022264,-1.758633,-0.7071068,4.390296E-08,4.390296E-08,0.7071068,
Door_Relax_Handle018,-9.110641,2.022264,-1.718633,-0.7071068,4.390296E-08,4.390296E-08,0.7071068,
Door_Relax_Handle017,-11.52009,1.985125,-0.07015498,0.5,0.5,-0.4999999,0.5000001,
Door_Relax_Handle015,-11.60162,1.985125,-0.07015504,0.5000001,-0.4999999,0.4999999,0.5000001,
Door_Relax_Handle013,-7.69743,2.022264,-1.860115,1.426846E-07,0.7071068,0.7071068,-1.426846E-07,
Door_Relax_Handle011,-9.110777,2.022264,-1.820117,1.426846E-07,0.7071068,0.7071068,-1.426846E-07,
Door_Relax_Handle010,-2.4664,1.22372,-4.408541,-0.7071068,4.390296E-08,4.390296E-08,0.7071068,
Door_Relax_Handle008,-0.5432635,1.22372,-4.468541,-0.7071068,4.390296E-08,4.390296E-08,0.7071068,
Door_Relax_Handle007,-1.78549,1.22372,-4.630049,1.426846E-07,0.7071068,0.7071068,-1.426846E-07,
Door_Relax_Handle005,-3.708625,1.22372,-4.570073,1.426846E-07,0.7071068,0.7071068,-1.426846E-07,
Door_Relax_Handle004,-4.81092,1.222883,-4.529922,-5.338507E-08,0.7071068,-0.7071068,-5.338508E-08,
Door_Relax_Handle003,4.034714,1.222883,-4.518347,-5.338507E-08,0.7071068,-0.7071068,-5.338508E-08,
Door_Relax_Handle001,6.029823,1.072261,-5.562097,-0.5000001,-0.4999999,-0.4999999,0.5000001,
Door_Bedroom_Frame,0.2686318,4.064229,-2.597801,-0.5000001,0.5,0.5,0.5000001,
Door_Bathroom_Frame,-2.135506,4.064229,-3.022,5.338508E-08,0.7071068,0.7071068,-5.338508E-08,
AVP6_Doors,0,0,0,0,0,0,1,transform_position
Livslang_Tall,-3.6218,1.289417,-1.503,-0.5000001,0.5000001,0.5000001,0.5000001,
Livslang_Short,-3.6218,1.236841,-1.713,-0.5000001,0.5000001,0.5000001,0.5000001,
Livslang,-3.6218,1.189367,-1.837,0,0.7071068,0,0.7071068,transform_position
Plastic_Chair_Leg,-11.20033,1.177147,-4.815852,-0.5000151,0.499985,0.499985,0.5000151,
Plastic_Chair_Seat,-11.19931,1.586259,-4.815995,-0.5000151,0.499985,0.499985,0.5000151,
Plastic_Chair,-11.19957,0.9614277,-4.816,0,0.7070855,0,0.7071282,transform_position
Trunk_LOD0,-6.310925,4.250374,6.940771,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Thorn,-6.752515,8.091281,6.91694,-0.7057621,-0.04358758,-0.04358758,0.7057621,
